starttime	seconds	ctime	dtime	ttime	wait
Sat Aug 09 09:50:16 2014	1407570616	311	999	1311	999
Sat Aug 09 09:50:16 2014	1407570616	312	1001	1313	1001
Sat Aug 09 09:50:16 2014	1407570616	312	1002	1313	1002
Sat Aug 09 09:50:16 2014	1407570616	338	976	1314	976
Sat Aug 09 09:50:16 2014	1407570616	311	1003	1315	1003
Sat Aug 09 09:50:16 2014	1407570616	338	977	1315	977
Sat Aug 09 09:50:16 2014	1407570616	312	1007	1318	1006
Sat Aug 09 09:50:16 2014	1407570616	312	1007	1319	1007
Sat Aug 09 09:50:16 2014	1407570616	312	1008	1320	1008
Sat Aug 09 09:50:16 2014	1407570616	312	1011	1323	1011
Sat Aug 09 09:50:16 2014	1407570616	312	1016	1328	1016
Sat Aug 09 09:50:16 2014	1407570616	312	1017	1329	1017
Sat Aug 09 09:50:16 2014	1407570616	312	1018	1329	1018
Sat Aug 09 09:50:16 2014	1407570616	312	1019	1331	1019
Sat Aug 09 09:50:16 2014	1407570616	312	1021	1332	1020
Sat Aug 09 09:50:16 2014	1407570616	312	1022	1334	1022
Sat Aug 09 09:50:16 2014	1407570616	312	1024	1336	1024
Sat Aug 09 09:50:16 2014	1407570616	312	1026	1338	1026
Sat Aug 09 09:50:16 2014	1407570616	312	1027	1340	1027
Sat Aug 09 09:50:16 2014	1407570616	312	1028	1340	1028
Sat Aug 09 09:50:16 2014	1407570616	312	1029	1342	1029
Sat Aug 09 09:50:16 2014	1407570616	312	1030	1343	1030
Sat Aug 09 09:50:16 2014	1407570616	331	1013	1344	1013
Sat Aug 09 09:50:16 2014	1407570616	312	1031	1344	1031
Sat Aug 09 09:50:16 2014	1407570616	312	1032	1345	1032
Sat Aug 09 09:50:16 2014	1407570616	338	1007	1345	1007
Sat Aug 09 09:50:16 2014	1407570616	331	1018	1349	1018
Sat Aug 09 09:50:16 2014	1407570616	331	1021	1352	1021
Sat Aug 09 09:50:16 2014	1407570616	338	1015	1353	1015
Sat Aug 09 09:50:16 2014	1407570616	339	1020	1358	1019
